guest_id,park,weather,passholder,ll_use,age,party_size,visit_days,avg_temp_f,walked_miles,num_rides,wait_avg_am,wait_avg_pm,satisfaction_slider,budget,money_spent,spending_day1,spending_day2,plan_style,planned_character_dinner,actual_character_dinner,would_recommend
181,EPCOT,Sunny,Yes,No,47,5,3,82.2,8.78,11,37.2,56.3,93.6,200,302.35,172.59,56.21,Planner,Yes,Yes,Yes
182,EPCOT,Sunny,Yes,No,43,4,6,76.2,14.36,14,32,47,78.2,200,313.51,132.71,56.99,Planner,No,Yes,No
183,Animal Kingdom,Sunny,No,Yes,62,2,5,76,10.76,10,44.3,48.7,77.6,200,273.32,120.14,91.79,Planner,No,Yes,Yes
184,Magic Kingdom,Cloudy,Yes,No,30,6,4,84.4,10.23,12,48.7,64.6,93.8,400,366.77,159.85,90.82,Spontaneous,No,No,Yes
185,EPCOT,Sunny,No,Yes,26,4,7,85.3,12.53,19,27.9,40.1,95,200,319.28,139.06,99.87,Planner,No,No,Yes
186,Hollywood Studios,Sunny,No,No,23,8,10,81.3,12.18,17,47.8,59,71.7,300,370.76,130.2,82.1,Planner,No,Yes,Yes
187,Magic Kingdom,Cloudy,Yes,Yes,30,8,4,75.6,9.36,5,45.5,57,81.7,400,381.4,209.03,79.26,Mixed,No,No,No
188,Magic Kingdom,Sunny,Yes,No,16,6,4,76.4,10.21,11,42.9,59.5,79.3,200,283.42,155.04,64.59,Mixed,Yes,Yes,Yes
189,Magic Kingdom,Rainy,Yes,Yes,48,3,7,89.4,12.76,11,43.7,46.7,77,300,314.84,178.53,39.2,Spontaneous,Yes,Yes,Yes
190,EPCOT,Sunny,Yes,Yes,41,5,5,82.6,7.89,8,43,47.6,71.7,300,349.55,179.14,37.99,Spontaneous,No,No,No
191,Animal Kingdom,Sunny,Yes,No,32,5,6,85.6,7.73,15,14.9,29.4,99.4,300,349.28,172.69,104.95,Planner,No,Yes,Yes
192,Animal Kingdom,Sunny,No,No,31,4,8,87.3,10.04,17,36.7,49.2,71.8,200,315.76,188.75,27.79,Spontaneous,No,Yes,No
193,Animal Kingdom,Sunny,No,No,21,3,1,85,9.04,7,28,32.4,67.4,200,274.85,274.85,NA,Mixed,Yes,Yes,Yes
194,Hollywood Studios,Sunny,No,No,50,6,4,84.9,11.37,11,52.5,50.1,53.8,200,360.73,203.61,35.28,Planner,No,Yes,No
195,Hollywood Studios,Cloudy,No,Yes,45,3,4,85.4,11.64,11,35.9,40.2,95.3,200,240.95,125.92,23.23,Mixed,No,Yes,Yes
196,Hollywood Studios,Cloudy,No,No,19,6,6,76.9,8.23,13,38,44.6,70.4,300,315.35,185.28,27.46,Mixed,Yes,Yes,No
197,Hollywood Studios,Cloudy,No,No,47,2,3,59.1,14.52,8,55.4,64.8,85.5,200,258.87,149.27,64.88,Mixed,Yes,Yes,Yes
198,EPCOT,Cloudy,Yes,No,30,5,5,96.7,10.29,11,19.3,31.3,88.4,200,267.57,158.99,32.2,Planner,No,No,Yes
199,Animal Kingdom,Cloudy,Yes,No,32,4,4,66.1,10.14,11,26.1,44.7,78.7,300,274.67,116.62,65.99,Planner,Yes,Yes,Yes
200,Magic Kingdom,Sunny,No,Yes,28,4,4,80,8.3,15,47,51.5,67.8,300,370.13,210.77,58.9,Spontaneous,Yes,No,Yes
201,Magic Kingdom,Sunny,No,No,49,6,5,90.2,9.53,11,41.8,59.8,88,200,333.28,145.6,104.89,Planner,No,Yes,Yes
202,EPCOT,Sunny,No,No,34,4,5,72.3,6.05,13,28.4,48.5,78.2,300,357.73,180.51,53.1,Planner,Yes,Yes,Yes
203,Animal Kingdom,Sunny,No,Yes,16,5,5,80.4,11,9,49.8,57.6,68.7,300,330.5,197.07,79.94,Planner,No,Yes,No
204,EPCOT,Sunny,Yes,No,43,3,2,85.5,12.49,14,28.3,40.7,84.8,400,333.63,134.59,89.74,Mixed,Yes,No,Yes
205,Animal Kingdom,Sunny,No,No,22,3,8,81.7,12.73,11,42,43.8,64.9,200,318.62,118.04,76.69,Spontaneous,No,No,No
206,Magic Kingdom,Sunny,No,Yes,48,5,3,79.8,8.52,15,43,44.6,75.2,200,297.09,145.48,76.86,Spontaneous,Yes,Yes,Yes
207,EPCOT,Cloudy,No,No,45,4,5,93.7,5.97,13,25.5,41.9,76.3,300,425.63,229.8,75.25,Planner,No,No,Yes
208,Magic Kingdom,Sunny,No,Yes,29,2,7,93.9,11.03,10,47.4,66.8,63.9,200,265.99,155.38,32.47,Mixed,Yes,Yes,No
209,Magic Kingdom,Sunny,Yes,No,16,3,5,75.3,9.96,16,51.4,59.3,100,200,284.72,109.12,88.43,Spontaneous,Yes,Yes,Yes
210,Hollywood Studios,Cloudy,Yes,Yes,48,3,14,67.6,8.23,22,47.1,64.8,72.2,300,424.65,250.34,50.8,Spontaneous,Yes,No,Yes
211,Hollywood Studios,Cloudy,No,No,43,2,3,96.4,10.63,11,26.8,34.9,72.7,200,227.95,83.96,62.68,Planner,Yes,Yes,Yes
212,EPCOT,Cloudy,No,Yes,26,6,3,90.4,13.81,15,30.7,40.9,58.7,300,NA,NA,NA,Mixed,Yes,Yes,No
213,Hollywood Studios,Sunny,No,No,21,5,4,93.9,11.02,13,29.1,43.8,63.6,300,323.44,149.96,39.33,Mixed,Yes,No,No
214,Magic Kingdom,Sunny,No,No,7,4,4,89.7,12.19,8,60.3,69.3,79.8,200,248.4,142.64,34.74,Mixed,Yes,Yes,Yes
215,Animal Kingdom,Sunny,No,No,47,4,6,64.8,10.97,11,39.1,42.7,67.7,200,283.07,123.5,87.13,Spontaneous,Yes,Yes,No
216,Hollywood Studios,Sunny,No,No,52,4,4,86.2,11.79,9,46.4,57.2,76.2,200,240.39,122.92,53.5,Mixed,No,No,Yes
217,Magic Kingdom,Sunny,Yes,Yes,53,3,7,81.4,9.61,13,59.6,52.7,100,300,367.07,134.14,121.06,Spontaneous,No,No,Yes
218,Hollywood Studios,Cloudy,No,Yes,34,5,5,88.3,13.31,21,49.8,52.8,56.9,300,350.83,151.89,114.69,Spontaneous,No,No,No
219,Animal Kingdom,Sunny,No,No,48,3,6,77.4,9.73,9,27.4,31.6,86.3,200,273.59,141.06,39.23,Mixed,No,No,Yes
220,Animal Kingdom,Rainy,No,No,29,3,4,92.2,8.27,9,31.9,48.1,93.5,200,193.87,94.48,59.28,Mixed,No,Yes,Yes
221,EPCOT,Rainy,No,Yes,34,6,2,90.2,12.05,8,35.4,52,60.9,300,336.08,134.24,72.58,Spontaneous,Yes,No,No
222,Magic Kingdom,Sunny,Yes,No,34,2,5,79.5,14.04,7,55,73.7,82.5,200,250.76,134.6,26.86,Spontaneous,Yes,Yes,Yes
223,Animal Kingdom,Cloudy,Yes,No,40,6,4,95.7,11.86,13,34.6,42,84.7,400,431.45,229.39,116.36,Mixed,No,No,No
224,Animal Kingdom,Cloudy,Yes,Yes,3,9,7,81.6,11.83,6,13.9,30,72.9,300,349.1,140.87,101.73,Spontaneous,Yes,Yes,Yes
225,Magic Kingdom,Sunny,Yes,Yes,45,4,3,89.6,10.8,10,70.3,76.4,73.8,300,242.31,113.37,45.62,Mixed,No,No,Yes
226,EPCOT,Sunny,No,No,45,2,8,93.6,5.8,23,31.5,45.4,78.8,200,407.4,200.08,94.83,Planner,No,No,Yes
227,Magic Kingdom,Sunny,Yes,No,3,6,5,82.8,11.44,11,46.1,50.8,73.3,200,342.78,199.83,42.84,Spontaneous,Yes,Yes,No
228,Animal Kingdom,Sunny,Yes,Yes,39,5,4,78.2,10.59,13,37.7,54.7,83.9,300,330.57,133.75,73.07,Planner,Yes,No,No
229,Hollywood Studios,Cloudy,Yes,No,24,3,7,97,10.49,17,27.9,34.2,79.1,200,417.27,207.93,58.7,Planner,No,Yes,Yes
230,Hollywood Studios,Sunny,No,Yes,28,4,8,84.4,6.13,13,59,52,69.7,300,341.72,139.27,85.05,Spontaneous,No,No,Yes
231,Hollywood Studios,Sunny,No,No,27,2,8,88.4,8.7,15,48.3,52.5,71.3,300,344.25,172.07,77.83,Mixed,Yes,Yes,Yes
232,Magic Kingdom,Sunny,No,No,66,3,5,82.9,11.52,17,47.8,61.2,76.9,300,352.63,187.78,36.27,Mixed,Yes,Yes,Yes
233,Hollywood Studios,Cloudy,Yes,Yes,45,4,3,82.6,6.68,8,48.2,63.9,90.8,200,282.96,101.64,89.58,Planner,No,Yes,Yes
234,Hollywood Studios,Sunny,No,Yes,63,6,5,89.9,10.57,14,26,35.9,74.9,300,334.17,140.8,111.69,Spontaneous,Yes,No,Yes
235,Magic Kingdom,Cloudy,No,No,27,2,5,81.8,11.03,10,27.7,36.9,90.9,300,268.57,150.99,26.69,Planner,Yes,Yes,Yes
236,Animal Kingdom,Rainy,No,Yes,33,3,5,92.2,6.21,13,22,37.3,72.3,200,254.92,112.86,70.49,Planner,Yes,Yes,Yes
237,Animal Kingdom,Rainy,No,No,44,5,6,94.3,9.61,14,13.4,25.4,84.3,400,421.43,194.17,89.22,Planner,No,No,Yes
238,Hollywood Studios,Sunny,No,Yes,37,7,8,88,13.83,21,37.9,60.1,84.5,400,420.28,157.04,155.45,Spontaneous,Yes,Yes,Yes
239,Hollywood Studios,Sunny,Yes,Yes,56,1,6,62.8,5.93,12,44.8,58.5,100,200,271.01,151.66,27.43,Spontaneous,No,No,Yes
240,Hollywood Studios,Sunny,No,No,27,3,8,83.2,7.13,15,47.2,57.3,76.6,200,261,109.73,90.02,Planner,Yes,Yes,Yes
241,Magic Kingdom,Cloudy,No,No,24,4,7,81.3,11.57,15,62.6,63.8,71.7,300,354.14,168.63,77.58,Mixed,Yes,No,No
242,Animal Kingdom,Sunny,Yes,Yes,30,7,8,78.8,19.03,23,19.4,33.1,74.1,500,415.04,169.38,71.28,Planner,No,No,No
243,Animal Kingdom,Cloudy,No,No,62,3,6,85.4,7.23,13,36.7,49.9,77.9,400,344.7,137.68,49.57,Mixed,No,No,Yes
244,Magic Kingdom,Sunny,No,No,33,2,5,83.3,9.44,9,59.7,69.3,75.2,200,325.8,116.71,54.2,Spontaneous,No,No,Yes
245,EPCOT,Sunny,Yes,No,43,2,9,79.9,18.29,17,20.5,29.7,71.8,300,315.12,136.49,60.85,Mixed,No,No,Yes
246,EPCOT,Cloudy,Yes,No,36,3,4,72.2,10.92,12,27,37,88.5,200,289.43,113.66,52.59,Spontaneous,No,No,Yes
247,EPCOT,Rainy,Yes,Yes,40,3,5,76.3,9.36,13,31,50,78.8,200,291.38,106.06,93.35,Planner,No,No,No
248,Magic Kingdom,Sunny,No,No,24,5,4,87.2,12.65,6,62,75.4,80.8,200,326.41,160.66,60.76,Spontaneous,No,Yes,Yes
249,EPCOT,Cloudy,No,No,13,4,4,87.2,8.61,13,30.8,39.3,71.6,200,210.36,83.13,31.15,Mixed,No,No,No
250,Animal Kingdom,Cloudy,No,Yes,42,8,4,87.1,8.21,10,34.1,43.7,81.5,300,378.65,159.09,68.01,Mixed,No,Yes,Yes
251,Magic Kingdom,Sunny,Yes,No,63,3,6,83.5,9.98,11,53.9,54.7,76.7,300,280.87,144.55,47.61,Planner,No,No,Yes
252,EPCOT,Sunny,Yes,No,39,2,8,85.2,9.85,18,62.4,68.5,76.9,200,342.54,164.43,100.7,Mixed,No,Yes,Yes
253,Hollywood Studios,Rainy,No,Yes,30,3,5,80.3,10.08,15,49.8,58.8,70.5,300,363.05,142.69,99.59,Spontaneous,No,Yes,Yes
254,Magic Kingdom,Sunny,No,No,37,6,4,80.4,14.11,12,65.2,69.2,54.9,200,317.45,129.86,70.97,Spontaneous,No,No,No
255,EPCOT,Sunny,No,No,62,3,3,82.7,7.21,7,47.4,56.8,100,200,246.27,98.03,72.74,Mixed,No,Yes,Yes
256,Magic Kingdom,Sunny,No,No,36,3,8,95.2,6.67,14,45,44.2,74.1,200,343.09,138.13,119.32,Mixed,No,No,No
257,Magic Kingdom,Rainy,Yes,Yes,48,4,6,87,10.58,18,32.5,40.6,80.9,300,403.87,174.41,96.67,Mixed,Yes,No,Yes
258,Magic Kingdom,Sunny,No,Yes,58,2,7,81.2,8.08,14,68.1,86.9,67.9,300,379.6,204.44,62.98,Planner,Yes,Yes,Yes
259,EPCOT,Cloudy,Yes,No,14,4,7,91.9,6.34,16,43.1,55.5,83.1,300,335,136.51,74.97,Mixed,Yes,Yes,Yes
260,Animal Kingdom,Sunny,Yes,Yes,34,6,6,87,11.88,14,34.9,56.1,77.8,300,343.68,165.83,75.6,Planner,Yes,Yes,Yes
261,Magic Kingdom,Sunny,Yes,No,28,4,11,81.4,5.15,21,40.1,44,100,300,410.82,166.73,120.91,Spontaneous,No,No,Yes
262,Magic Kingdom,Sunny,No,Yes,37,6,3,79.2,14.84,11,46.2,50.8,76.3,200,296.88,115.76,68.09,Spontaneous,No,No,Yes
263,Hollywood Studios,Rainy,No,No,42,5,6,93.2,14,16,36.6,51.5,68.3,300,389.72,207.29,90.74,Spontaneous,No,No,Yes
264,EPCOT,Cloudy,No,No,38,3,6,98.9,5.7,14,44.2,52.4,55.2,300,294.56,163.6,70.99,Planner,Yes,Yes,No
265,Animal Kingdom,Cloudy,Yes,No,11,3,4,72.5,12.23,12,22.8,37.7,81.3,200,274.13,97.24,39.57,Spontaneous,Yes,Yes,Yes
266,EPCOT,Sunny,No,Yes,28,3,7,93.5,7.89,18,49.4,53.8,69.5,300,335.68,151.31,92.36,Planner,No,Yes,No
267,Magic Kingdom,Rainy,Yes,No,49,3,4,87.4,9.76,12,32.6,42.5,97.4,200,233.24,136.7,24.38,Planner,No,No,Yes
268,EPCOT,Cloudy,Yes,Yes,16,5,4,64.5,8.23,4,40.8,43.9,74.1,200,NA,NA,NA,Mixed,Yes,No,No
269,EPCOT,Sunny,Yes,No,27,3,7,78.1,9.59,9,35.4,53.2,81.1,200,NA,NA,NA,Spontaneous,No,No,Yes
270,EPCOT,Sunny,No,Yes,21,9,7,80.1,13.49,18,49.6,60.4,67.2,300,379.25,150.12,75.5,Planner,No,Yes,No
271,EPCOT,Rainy,Yes,No,22,5,8,88.6,13.57,14,28.3,32.7,80.1,300,387.9,189.44,92.16,Planner,Yes,Yes,Yes
272,Animal Kingdom,Sunny,Yes,Yes,46,2,6,80.4,6.11,6,27.9,31,80.6,300,287.68,103.45,89.79,Mixed,No,No,Yes
273,EPCOT,Sunny,No,No,26,5,5,87.6,8.76,16,24.8,43.2,53.3,400,343.48,146.62,88.43,Mixed,No,No,No
274,Hollywood Studios,Sunny,Yes,No,53,1,7,80.1,13.33,15,30.3,46,77.1,200,249.88,135.73,36.72,Planner,No,No,No
275,EPCOT,Sunny,No,Yes,27,5,8,88.6,7.2,18,54.8,63.3,79.2,500,436.02,259.67,39.07,Planner,Yes,Yes,Yes
276,Hollywood Studios,Sunny,No,No,47,2,6,73.5,6.7,14,28.8,43,87.5,300,262.31,149.79,33.41,Planner,No,Yes,Yes
277,Hollywood Studios,Sunny,Yes,No,21,6,4,85.4,14.33,8,57.1,49.1,82.6,300,316.49,142.27,92.15,Planner,No,No,No
278,EPCOT,Sunny,No,Yes,22,6,4,70.3,11.09,14,14.2,34,78.7,300,327.21,153.81,89.13,Mixed,Yes,No,Yes
279,Hollywood Studios,Sunny,Yes,Yes,31,7,7,88.9,16.18,15,52.9,50,69.6,300,353.71,139.76,113.33,Mixed,Yes,Yes,Yes
280,Magic Kingdom,Sunny,No,Yes,27,2,4,79.9,12.3,14,78,83.4,87.3,200,270.11,105.62,90.89,Mixed,No,No,Yes
281,Magic Kingdom,Sunny,No,Yes,11,4,5,85.5,9.66,13,62.2,70.5,66.7,300,306.21,164.43,44.53,Mixed,Yes,Yes,No
282,EPCOT,Cloudy,No,No,35,3,6,70.9,12.26,16,53.7,58.6,68.2,300,325.26,126.41,107.72,Mixed,No,No,No
283,Magic Kingdom,Sunny,No,No,13,5,2,85.1,7.23,12,54,68.4,69,200,245.77,121.02,44.06,Spontaneous,No,No,Yes
284,Animal Kingdom,Sunny,No,No,34,5,7,92.9,8.08,12,23.6,47,71.9,300,342.93,192.79,56.62,Mixed,No,No,Yes
285,Magic Kingdom,Sunny,Yes,Yes,26,3,5,92.1,11.76,12,51.2,59.1,77.3,200,281.39,146.19,53.19,Planner,Yes,Yes,Yes
286,EPCOT,Cloudy,No,Yes,21,2,1,64.7,15.41,10,49.1,58.5,90.2,200,255.93,255.93,NA,Planner,No,No,Yes
287,Magic Kingdom,Rainy,No,No,41,9,6,68.8,13.16,11,34.5,48.7,80.1,300,430,228.97,86.96,Planner,No,No,No
288,Hollywood Studios,Cloudy,Yes,No,46,4,6,84,16.34,14,51.6,74.1,65.9,200,266.62,122.32,70.77,Mixed,No,No,Yes
289,Hollywood Studios,Sunny,No,No,32,5,6,85.8,5.55,14,56.8,61.8,94.7,300,286.76,116.22,58.7,Mixed,Yes,Yes,Yes
290,Animal Kingdom,Sunny,No,No,41,3,6,79.1,13.59,16,35,42.7,66.6,300,286.02,106.65,40.3,Planner,No,Yes,No
291,Animal Kingdom,Sunny,No,No,28,5,3,86.2,9.71,14,27.9,43,92.8,100,279,105.98,82.53,Spontaneous,No,Yes,Yes
292,Animal Kingdom,Sunny,No,No,36,3,3,85.4,12.33,16,39.8,60.5,72.5,200,241.55,137.01,53.34,Planner,No,No,No
293,EPCOT,Sunny,No,No,36,4,4,81,8.67,19,36,54,78.3,300,303.47,125.51,55.77,Spontaneous,Yes,Yes,Yes
294,EPCOT,Sunny,Yes,Yes,29,8,4,79.5,11.11,9,43.7,50,53.3,300,332.62,192.76,32.91,Mixed,Yes,No,No
295,Magic Kingdom,Rainy,No,Yes,35,2,4,62.1,10.23,14,14.1,32.2,61.2,100,263.57,100.83,45.83,Spontaneous,No,No,No
296,Hollywood Studios,Sunny,No,Yes,19,6,6,95.8,11.5,10,46.6,60.1,81.7,300,347.86,156.6,68.72,Mixed,Yes,No,No
297,Magic Kingdom,Sunny,No,No,41,5,9,97.2,3.03,17,31.6,47.8,75.5,400,NA,NA,NA,Mixed,No,Yes,Yes
298,Magic Kingdom,Sunny,No,No,37,6,5,69.5,10.86,11,56.3,59.5,73,300,321.41,123.75,94.63,Planner,No,No,Yes
299,Animal Kingdom,Sunny,No,No,49,4,7,91.5,7.54,16,5,23.2,90.8,300,346.48,187.54,39,Planner,No,No,No
300,EPCOT,Cloudy,No,Yes,28,2,8,75.4,14.64,16,24.1,24.3,64.7,300,355.28,139.13,55.83,Spontaneous,Yes,No,No
301,Animal Kingdom,Cloudy,Yes,No,13,4,5,75.9,12.02,18,35.9,52.2,84.6,200,327.72,163.63,57.54,Planner,No,No,No
302,Hollywood Studios,Cloudy,No,No,30,4,6,86.7,10.71,18,40.2,44.7,74.3,300,300.86,148.53,81.89,Planner,No,No,No
303,Animal Kingdom,Sunny,No,Yes,24,4,6,82,8.24,13,42,50.7,90.7,300,262.14,131.54,34.55,Mixed,Yes,Yes,Yes
304,EPCOT,Sunny,Yes,Yes,20,4,6,82.7,8.24,12,43.3,56.3,85.4,200,259.89,131.97,37.48,Planner,Yes,Yes,Yes
305,EPCOT,Sunny,No,No,40,6,3,95.6,4.82,8,61.5,61.3,75,400,347.94,123.13,92.17,Planner,Yes,No,No
306,Animal Kingdom,Cloudy,Yes,Yes,42,2,2,89.1,4.74,15,36.6,33,80.7,300,266.57,123.21,34.16,Planner,No,No,Yes
307,Hollywood Studios,Sunny,Yes,Yes,34,3,8,74.8,7.67,17,61.1,68.8,80.8,300,321.7,154.89,92.62,Mixed,Yes,Yes,Yes
308,EPCOT,Sunny,No,No,62,3,3,74.6,9.08,9,44.1,55.2,61,300,297.89,108.62,55.63,Mixed,No,No,No
309,Hollywood Studios,Rainy,No,No,62,3,5,86.2,6.02,14,10.5,22.3,62.9,300,NA,NA,NA,Spontaneous,No,No,Yes
310,Hollywood Studios,Sunny,No,No,26,4,5,86.3,7.08,9,45.7,66.8,66.1,200,305.41,139.03,84.26,Mixed,No,No,No
311,Hollywood Studios,Sunny,Yes,No,24,2,8,91.2,9.27,14,44.5,52.8,71.7,200,342.51,151.68,94.86,Planner,No,No,Yes
312,EPCOT,Cloudy,Yes,Yes,25,5,3,91.7,6.35,7,34.3,34.1,90.9,200,222.17,99.07,47.73,Mixed,No,Yes,Yes
313,EPCOT,Rainy,No,Yes,43,4,3,73.8,12.58,9,48.1,64.9,78.8,200,283.04,104.85,70.16,Spontaneous,No,Yes,Yes
314,EPCOT,Sunny,Yes,Yes,37,2,7,90,11.24,15,28.2,41.7,84.4,300,278.94,152.09,29.07,Planner,No,No,Yes
315,EPCOT,Cloudy,Yes,No,36,6,5,76.9,15.16,12,43.7,38.1,81.3,400,328.49,129.59,100.38,Planner,Yes,Yes,Yes
316,Magic Kingdom,Sunny,Yes,Yes,34,2,10,74.5,3.56,17,40.9,56.7,68.7,300,365.78,151.61,63.11,Mixed,Yes,No,Yes
317,Magic Kingdom,Rainy,Yes,No,25,3,8,68.1,4.67,18,37.9,43.3,64.9,200,337.08,201.8,62.21,Mixed,Yes,Yes,Yes
318,Magic Kingdom,Sunny,No,No,33,6,3,78.2,4.63,14,51.8,59.4,90.8,200,299.77,128.96,54.74,Planner,No,No,Yes
319,Animal Kingdom,Sunny,Yes,Yes,62,2,4,89.1,4.87,7,26,37.8,66.9,200,231.1,123.89,51.56,Mixed,No,Yes,No
320,Magic Kingdom,Cloudy,Yes,Yes,31,4,5,80.7,13.96,11,38.5,57.6,80.1,200,370.1,176.36,100.3,Planner,Yes,No,Yes
321,Hollywood Studios,Cloudy,Yes,No,29,4,3,81.4,13.31,11,49.4,57.6,71.7,300,301.88,129.13,98.5,Spontaneous,Yes,No,Yes
322,Hollywood Studios,Rainy,Yes,Yes,37,4,5,77.6,6.66,13,27.6,40.3,69.2,200,333.23,190.03,85.72,Spontaneous,Yes,No,Yes
323,Magic Kingdom,Sunny,Yes,Yes,44,2,8,74.7,5.23,13,47.4,59.8,93.2,300,305.68,137.76,69.7,Mixed,Yes,No,Yes
324,Hollywood Studios,Sunny,No,No,45,8,8,75.3,10.81,14,53,77,83,300,442.42,168.76,65.4,Planner,No,No,Yes
325,Magic Kingdom,Rainy,Yes,No,33,2,1,81.5,10.08,8,26.5,35,90.4,200,196.75,196.75,NA,Planner,Yes,Yes,Yes
326,EPCOT,Cloudy,Yes,Yes,48,4,3,78,15.54,9,58.9,60.4,67.7,400,351.62,207.05,82.02,Spontaneous,No,Yes,No
327,Hollywood Studios,Cloudy,Yes,No,9,8,4,74,10.94,12,50.5,59.3,69.9,300,316.9,174.63,61.18,Planner,Yes,Yes,No
328,Magic Kingdom,Sunny,No,No,25,6,4,95.8,10.55,10,49.2,55.8,92.8,300,NA,NA,NA,Planner,No,No,Yes
329,Magic Kingdom,Sunny,Yes,Yes,16,4,7,102,7.21,17,60.7,64.3,78.4,300,384.56,137.44,117.53,Spontaneous,Yes,No,Yes
330,Animal Kingdom,Sunny,No,No,44,3,4,88.3,12.93,8,45,42.4,91.8,200,NA,NA,NA,Planner,Yes,Yes,Yes
331,Magic Kingdom,Sunny,Yes,Yes,31,4,1,79.1,11.2,8,68.3,80.1,77.7,200,266.07,266.07,NA,Planner,No,No,Yes
332,Animal Kingdom,Sunny,No,Yes,35,3,2,91.6,9.92,10,29.1,37.4,86.7,200,322.18,190.94,56.46,Mixed,Yes,Yes,No
333,Magic Kingdom,Sunny,No,Yes,37,4,6,75.8,6.91,15,45.6,65.9,70.4,400,337.96,180.19,58.21,Planner,Yes,Yes,Yes
334,Animal Kingdom,Cloudy,Yes,No,34,4,5,66.2,9.6,14,29.3,27.8,67.8,200,275.27,113.08,45.92,Mixed,No,No,Yes
335,Animal Kingdom,Sunny,No,No,48,3,9,83.8,10.98,14,37.9,37,85.6,300,361.03,154.6,71.97,Spontaneous,Yes,Yes,Yes
336,Magic Kingdom,Sunny,No,No,3,3,6,77.9,15.43,11,49.8,44.1,56.4,300,264.42,130.72,77.4,Planner,No,No,No
337,Magic Kingdom,Rainy,No,No,36,4,3,84.9,9.71,9,34.1,62.4,77.3,200,249.97,127.94,42.36,Spontaneous,No,Yes,No
338,Magic Kingdom,Sunny,Yes,No,31,4,5,85,10.94,16,51.3,53.8,74.2,300,335.19,142.24,114.78,Spontaneous,Yes,No,No
339,EPCOT,Rainy,No,Yes,55,6,6,82.5,11.11,14,31.2,43.3,54,400,393.63,139.75,62.11,Planner,No,No,Yes
340,Magic Kingdom,Cloudy,No,No,33,5,5,87.5,8.3,15,50.9,51.1,92.2,400,367.63,165.04,89.17,Planner,No,Yes,Yes
341,EPCOT,Rainy,Yes,No,25,5,7,95.5,10.2,16,17.3,19.6,73.6,300,461.39,270,95.29,Mixed,No,No,No
342,Magic Kingdom,Sunny,Yes,No,42,7,7,92.5,14.02,13,39.9,40.4,91.6,400,437.6,215.69,119.79,Planner,No,No,Yes
343,Hollywood Studios,Sunny,No,Yes,45,4,3,98.7,12.07,9,50.7,63.8,67.3,100,262.67,94.89,37.92,Mixed,Yes,Yes,No
344,Magic Kingdom,Sunny,Yes,No,42,6,3,90.3,6.55,8,58.4,72.1,71.5,200,297.32,146.06,37.79,Mixed,Yes,Yes,Yes
345,Animal Kingdom,Sunny,No,Yes,25,3,5,92.8,6.33,13,21.5,29.1,85.2,300,314.77,158.2,50.78,Planner,No,Yes,Yes
346,Animal Kingdom,Cloudy,No,No,33,7,2,65.3,5.56,11,25.6,28.5,76.6,200,232.43,129.25,38.63,Planner,No,No,No
347,Magic Kingdom,Cloudy,No,Yes,42,2,9,80.2,8.28,20,24.6,45.6,84.5,400,329.58,158.92,94.75,Planner,Yes,No,Yes
348,EPCOT,Cloudy,Yes,Yes,47,5,6,79.6,13.25,15,40.6,44.4,97.7,300,301.53,141.34,38.62,Spontaneous,Yes,Yes,Yes
349,Hollywood Studios,Rainy,No,No,48,4,5,65.8,12.91,16,37.7,38.7,83.2,400,370.41,186.97,43.78,Spontaneous,Yes,Yes,Yes
350,Animal Kingdom,Sunny,Yes,No,49,6,5,81,11.02,10,26.6,33.7,83.3,300,334.46,185.65,71.8,Spontaneous,No,No,No
351,EPCOT,Sunny,No,Yes,57,2,5,89.6,10.2,9,55,65.4,75.2,300,300.67,172.88,62.62,Spontaneous,Yes,Yes,No
352,Magic Kingdom,Sunny,No,No,49,2,6,88.4,11.38,12,27.9,45.8,81,200,240.55,107.63,66.69,Mixed,Yes,No,Yes
353,Magic Kingdom,Sunny,Yes,No,39,2,4,78.7,9.37,8,32.8,49.2,90.5,200,224.54,100.8,40.64,Planner,No,No,Yes
354,EPCOT,Sunny,No,Yes,28,6,5,73,10.3,15,35.6,48.7,77.9,400,350.59,206.87,78.77,Planner,No,No,Yes
355,Hollywood Studios,Cloudy,No,No,43,7,9,85.1,15.35,14,29.6,42.3,77.6,300,390.46,189.82,77.37,Planner,No,No,No
356,Hollywood Studios,Sunny,No,Yes,32,1,8,72.1,8.4,15,25.2,35.2,73.2,300,251.05,132.68,57.53,Spontaneous,No,No,No
357,Magic Kingdom,Sunny,Yes,No,38,8,4,82.6,10.35,12,31.6,43.7,78.1,300,349.62,154.08,116.36,Mixed,No,No,Yes
358,EPCOT,Rainy,No,Yes,55,7,8,85,12.06,14,16.7,27.6,72.4,300,452.87,254.03,98.93,Mixed,No,No,Yes
359,EPCOT,Sunny,No,Yes,26,5,1,82.4,10.82,9,32.8,36.8,58.9,200,275.76,275.76,NA,Planner,No,Yes,Yes
360,Magic Kingdom,Sunny,No,Yes,35,5,6,86.9,6.76,12,57,67,70.9,300,383.65,155.43,76.75,Mixed,No,No,No
361,Magic Kingdom,Sunny,No,Yes,48,8,8,86.5,9.51,16,33,40.4,76.8,400,450.61,184.23,126.16,Planner,No,No,Yes
362,EPCOT,Sunny,No,No,54,3,5,93,14.33,14,28.6,47.1,97.9,200,341.47,189.99,72.7,Spontaneous,Yes,Yes,Yes
